ut	level	doi
000087589500005	1	10.1023/A:1002402902356
000087589500027	1	10.1023/A:1002656922270
000088075200002	1	10.1023/A:1002027622271
000088075200005	1	10.1023/A:1002075505432
000167733600001	1	10.1023/A:1002497503122
000175684600002	2	10.1162/089120102317341756
000176756300004	1	10.1023/A:1016178200469
000185302500002	1	10.1023/A:1025779619903
000187353300003	1	10.1023/B:CHUM.0000009278.73498.f4
000207622400008	2	10.1080/09296170701514197
000207735300004	1	10.1093/llc/fqm040
000207735400002	1	10.1093/llc/fqn005
000209902300005	1	10.1145/2611375
000209902300006	1	10.1145/2627729
000209902300007	1	10.1145/2611374
000209902300008	1	10.1145/2611519
000209929400002	1	10.1145/2538030
000222533400004	2	10.1162/089120104323093294
000225838500005	1	10.1007/s10579-004-1367-y
000228836600004	2	10.1162/0891201053630264
000230227800002	2	10.1162/0891201054223986
000235356800002	2	10.1007/s10579-005-2692-5
000235356800003	2	10.1007/s10579-005-2693-4
000235356800005	2	10.1007/s10579-005-2695-2
000235356800007	2	10.1007/s10579-005-2697-0
000237100000003	2	10.1007/s10579-005-7880-9
000237977900004	2	10.1162/coli.2006.32.1.49
000239022500001	2	10.1007/s10579-005-4822-5
000240734900001	2	10.1162/coli.2006.32.3.295
000244448000002	2	10.1007/s10579-006-9011-7
000244448000003	2	10.1007/s10579-006-9012-6
000247471600004	2	10.1162/coli.2007.33.2.229
000249327800003	2	10.1162/coli.2007.33.3.305
000250467300014	2	10.1007/s10579-007-9025-9
000250722300001	2	10.1007/s10579-007-9028-6
000254203200002	2	10.1007/s10579-007-9052-6
000254203200005	2	10.1007/s10579-007-9058-0
000257139400006	2	10.1162/coli.2008.34.2.289
000258643400002	2	10.1162/coli.2008.07-004-R2-06-57
000260838500001	2	10.1007/s10579-008-9070-z
000263798100005	2	10.1007/s10579-008-9077-5
000272466300008	2	10.1162/coli.2009.35.4.35405
000274220500002	2	10.1080/09296170903395924
000275310400001	2	10.1162/coli.2010.36.1.36100
000275310400005	2	10.1162/coli.2010.36.1.36104
000276471100007	2	10.1007/s10579-009-9099-7
000276471100009	2	10.1007/s10579-009-9101-4
000279666800004	2	10.1162/coli.2010.36.2.09054
000281401300005	1	10.1080/13569783.2010.495270
000281744900005	2	10.1162/coli_a_00004
000281744900007	2	NULL
000281744900009	2	10.1162/coli_a_00009
000283876600005	1	10.1080/13569783.2010.512187
000284412200002	2	10.1080/09296174.2010.512161
000284754100002	1	10.1093/llc/fqp007
000284754800010	1	10.1093/llc/fqp023
000284755400001	1	10.1093/llc/fqn043
000284755400004	1	10.1093/llc/fqp002
000284755400007	1	10.1093/llc/fqp027
000284758300008	1	10.1093/llc/fqp040
000285382400004	2	10.1162/coli_a_00014
000287710000001	2	10.1080/09296174.2011.533586
000287710000003	2	10.1080/09296174.2011.533589
000288314500002	2	10.1162/coli_a_00034
000288314500007	2	10.1162/coli_a_00039
000288801500004	1	10.1093/llc/fqq027
000289850000002	2	10.1007/s10579-010-9131-y
000289850000003	2	10.1007/s10579-010-9132-x
000291029800001	2	10.1162/COLI_a_00049
000293709900005	2	10.1007/s10579-011-9159-7
000294122100004	1	10.1093/llc/fqr020
000295585600003	2	10.1080/09296174.2011.556005
000296132100006	1	10.1093/llc/fqr033
000298118200007	2	10.1162/COLI_a_00077
000299555100003	2	10.1080/09296174.2011.581850
000299627600002	1	10.1080/13569783.2011.566987
000299627600004	1	10.1080/13569783.2011.566989
000299627900007	1	10.1080/13569783.2011.589997
000299627900009	1	10.1080/13569783.2011.589999
000299629300002	1	10.1080/13569783.2011.616399
000299629300005	1	10.1080/13569783.2011.617104
000301006300003	2	10.1162/COLI_a_00085
000304199900003	1	10.1093/llc/fqs002
000307651800003	2	10.1080/09296174.2012.659003
000309134500003	2	10.1007/s10579-012-9177-0
000309134500004	2	10.1007/s10579-012-9188-x
000309134500005	2	10.1007/s10579-012-9181-4
000310373700007	1	10.1093/llc/fqs013
000311172500003	2	10.1162/COLI_a_00110
000316004500010	2	10.1007/s10579-012-9195-y
000316543200012	1	10.1093/llc/fqs058
000319473300002	1	10.1093/llc/fqs067
000319473300003	1	10.1093/llc/fqt016
000319473300018	1	10.1093/llc/fqs007
000319566100011	1	10.1080/13569783.2013.787263
000326867300001	2	10.1080/09296174.2013.830549
000326867300003	2	10.1080/09296174.2013.830551
000326867300005	2	10.1080/09296174.2013.830552
000331800800005	1	10.1080/13569783.2013.872431
000333516500002	1	10.1080/13569783.2013.836917
000333516500005	1	10.1080/13569783.2013.836919
000334162900005	1	10.1093/llc/fqt008
000335779200004	2	10.1007/s10579-013-9259-7
000335779200007	2	10.1007/s10579-013-9261-0
000337244600004	1	10.1080/13569783.2014.895617
000338029100004	2	10.1080/09296174.2014.911510
000342908000005	1	10.1080/13569783.2014.928008
000345150100006	2	10.1162/COLI_a_00203
000345150100007	2	10.1162/COLI_a_00204
000345703000009	2	10.1007/s10579-014-9278-z
000345703000010	2	10.1007/s10579-014-9279-y
000356451800003	1	10.1093/llc/fqt035
000357578000001	2	10.1007/s10579-015-9298-3
000357578000007	2	10.1007/s10579-014-9290-3
000361044700005	2	10.1162/COLI_a_00229
000364230000003	2	10.1007/s10579-015-9299-2
000364762000020	1	10.1080/13569783.2015.1059271
000364762000031	1	10.1080/13569783.2015.1059750
000364762000036	1	10.1080/13569783.2015.1059265
000365861900009	1	10.1080/13569783.2015.1070663
000365861900010	1	10.1080/13569783.2015.1068108
000367448800010	1	10.1093/llc/fqu049
000367449700013	1	10.1093/llc/fqv042
000367813400001	2	10.1162/COLI_a_00232
000370863100004	2	10.1007/s10579-015-9313-8
000371746500005	2	10.1080/09296174.2015.1071150
000371922500014	1	10.1080/13569783.2015.1127144
000375471100002	1	10.1080/13569783.2016.1155405
000087589500004	1	10.1023/A:1002419305990
000087589500023	1	10.1023/A:1002454919194
000089635700001	2	10.1162/089120100561719
000167733600002	1	10.1023/A:1002485918032
000170991800002	1	10.1023/A:1011851209975
000171613600004	2	10.1162/089120101317066131
000172594900004	1	NULL
000172594900005	1	NULL
000176756300009	1	10.1023/A:1016170031420
000177248700001	2	10.1162/089120102760173625
000177980500003	1	10.1023/A:1020201615753
000180268700004	1	10.1023/A:1021895322291
000180268700005	1	10.1023/A:1021859725926
000181707500002	2	NULL
000184508600002	1	10.1023/A:1025064105053
000185302500001	1	10.1023/A:1025720518994
000186631500002	2	10.1162/089120103322711578
000186631500003	2	10.1162/089120103322711587
000207735300007	1	10.1093/llc/fqm044
000207735500009	1	10.1093/llc/fqn020
000209902400002	1	10.1145/2597178
000209902600003	1	10.1145/2629484
000220741000003	2	10.1162/089120104773633385
000221116700004	2	10.1162/089120103322753365
000225712200001	2	10.1162/0891201042544893
000237100000004	2	10.1007/s10579-005-7884-5
000242286600002	2	10.1007/s10579-006-9006-4
000242286600005	2	10.1007/s10579-006-9009-1
000247471600003	2	10.1162/coli.2007.33.2.201
000250442700003	2	10.1007/s10579-007-9016-x
000250467300003	2	10.1007/s10579-007-9022-z
000250467300015	2	10.1007/s10579-007-9019-7
000251759800003	2	10.1162/coli.2007.33.4.477
000256443500002	2	10.1080/09296170600850585
000256592800003	2	10.1080/09296170701794302
000256877500001	2	10.1080/09296170801961785
000256877500004	2	10.1080/09296170801961843
000257139400002	2	10.1162/coli.2008.34.2.161
000258162700003	2	10.1080/09296170802159512
000258643400004	2	10.1162/coli.2008.07-051-R2-03-57
000266277800002	2	10.1080/09296170902734164
000269451300003	2	10.1080/09296170902975742
000269913700003	2	10.1007/s10579-009-9092-1
000271982700004	2	10.1007/s10579-009-9106-z
000276471100004	2	10.1007/s10579-009-9095-y
000277771100004	2	10.1080/09296171003643205
000279010600002	1	10.1080/13569780802655731
000279055400004	1	10.1080/13569780902868812
000279055400007	1	10.1080/13569780902868911
000279055600005	1	10.1080/13569780903286048
000281854100001	2	10.1080/09296174.2010.485444
000283876600002	1	10.1080/13569783.2010.512183
000283876600004	1	10.1080/13569783.2010.512186
000283876600006	1	10.1080/13569783.2010.512189
000284412200004	2	10.1080/09296174.2010.512166
000284754800005	1	10.1093/llc/fqp018
000284758300006	1	10.1093/llc/fqq001
000284758900003	1	10.1093/llc/fqq006
000285382400002	2	10.1162/coli_a_00018
000285641500002	1	10.1093/llc/fqq020
000287922900006	2	10.1007/s10579-009-9111-2
000288314500003	2	10.1162/coli_a_00035
000288314500006	2	10.1162/coli_a_00038
000288801500005	1	10.1093/llc/fqq013
000289850000001	2	10.1007/s10579-010-9129-5
000296881000003	2	10.1007/s10579-010-9126-8
000298118200002	2	10.1162/COLI_a_00072
000299555400002	2	10.1080/09296174.2011.608606
000308083100005	2	10.1162/COLI_a_00093
000308083100006	2	10.1162/COLI_a_00090
000310164600002	2	10.1007/s10579-011-9148-x
000310321000005	1	10.1080/13569783.2012.727625
000310321000009	1	10.1080/13569783.2012.727629
000311172500001	2	10.1162/COLI_a_00129
000311172500005	2	10.1162/COLI_a_00112
000316004500004	2	10.1007/s10579-011-9168-6
000319473300011	1	10.1093/llc/fqs068
000319776500009	2	10.1007/s10579-013-9221-8
000323643100009	1	10.1093/llc/fqs056
000323754700008	2	10.1007/s10579-012-9206-z
000323754700012	2	10.1007/s10579-013-9219-2
000327244300005	1	10.1093/llc/fqt038
000327244300007	1	10.1093/llc/fqt024
000328531700001	2	10.1080/09296174.2013.856132
000331800800003	1	10.1080/13569783.2013.872427
000331800800009	1	10.1080/13569783.2013.872430
000333516500003	1	10.1080/13569783.2013.836921
000334162900008	1	10.1093/llc/fqt009
000334162900009	1	10.1093/llc/fqs073
000338029100003	2	10.1080/09296174.2014.911508
000338196000003	2	10.1162/COLI_a_00173
000338196000005	2	10.1162/COLI_a_00175
000340618500003	2	10.1007/s10579-014-9266-3
000341015900002	2	10.1080/09296174.2014.944329
000341843500005	2	10.1162/COLI_a_00194
000345703000005	2	10.1007/s10579-014-9267-2
000345836000006	1	10.1093/llc/fqu037
000350571000006	1	10.1080/13569783.2014.975111
000355405000002	1	10.1080/13569783.2015.1020054
000356452400003	1	10.1093/llc/fqt054
000356452400006	1	10.1093/llc/fqt047
000356452400008	1	10.1093/llc/fqt068
000357648900002	2	10.1080/09296174.2015.1037161
000358361300002	2	10.1007/s10579-015-9306-7
000359625700002	2	10.1162/COLI_a_00219
000367448800007	1	10.1093/llc/fqu033
000367813400007	2	10.1162/COLI_a_00240
000370863100005	2	10.1007/s10579-015-9332-5
000375471100006	1	10.1080/13569783.2016.1155404
000375471100008	1	10.1080/13569783.2016.1155408
000375471100010	1	10.1080/13569783.2016.1155407
000378040800002	2	10.1162/COLI_a_00246
000378144700012	1	10.1093/llc/fqu044
000379618200004	2	10.1080/09296174.2016.1142328
000380128100008	1	10.1080/13569783.2016.1192948
000384763200007	1	10.1093/llc/fqu061
000384763200008	1	10.1093/llc/fqu067
000384763200011	1	10.1093/llc/fqu073
000384763200012	1	10.1093/llc/fqu062
000385833600002	1	10.1093/llc/fqv010
000386585800002	1	10.1080/13569783.2016.1220243
000395810700013	1	10.1093/llc/fqw003
000396579800008	1	10.1080/13569783.2016.1263557
000398126100007	1	10.1093/llc/fqv036
000398126100012	1	10.1093/llc/fqv062
000398796800005	2	10.1162/COLI_a_00277
000399500000003	2	10.1080/09296174.2016.1265792
000399736000006	1	10.1145/3012284
000403358700001	2	10.1007/s10579-016-9369-0
000404611300003	2	10.1162/COLI_a_00286
000407360600002	2	10.1007/s10579-016-9347-6
000086370300006	2	10.1162/089120100561647
000167733600008	1	10.1023/A:1002620720223
000172594900007	1	NULL
000180120400002	2	10.1162/089120102762671936
000180268700003	1	10.1023/A:1021803606361
000180268700006	1	10.1023/A:1021839220474
000181393800006	1	10.1023/A:1022629013690
000186631500004	2	10.1162/089120103322711596
000207735400003	1	10.1093/llc/fqn004
000209902300003	1	10.1145/2629485
000209902300009	1	10.1145/2626289
000209929400001	1	10.1145/2533988
000220741000002	2	10.1162/089120104773633376
000225712200003	2	10.1162/0891201042544938
000237100000002	2	10.1007/s10579-005-7882-7
000237977900003	2	10.1162/089120106776173093
000237977900005	2	10.1162/coli.2006.32.1.83
000238767600004	2	10.1162/coli.2006.32.2.263
000242377300002	2	10.1162/coli.2006.32.4.471
000250467300005	2	10.1007/s10579-007-9036-6
000250467300007	2	10.1007/s10579-007-9029-5
000254203200007	2	10.1007/s10579-007-9053-5
000258643400003	2	10.1162/coli.2008.07-017-R1-06-83
000261404600003	2	10.1162/coli.07-056-R1-07-027
000263493700003	2	10.1080/09296170802514187
000263493700004	2	10.1080/09296170802514138
000263798100004	2	10.1007/s10579-008-9078-4
000266250400006	2	10.1007/s10579-009-9085-0
000271982700001	2	10.1007/s10579-009-9100-5
000271982700002	2	10.1007/s10579-009-9103-2
000272970700004	2	10.1080/09296170903211519
000276471100002	2	10.1007/s10579-009-9093-0
000277771100001	2	10.1080/09296171003642983
000277771100002	2	10.1080/09296171003643098
000279055400008	1	10.1080/13569780902868952
000279055500003	1	10.1080/13569780903072125
000279086100006	2	10.1007/s10579-010-9117-9
000281401300003	1	10.1080/13569783.2010.495266
000281401300004	1	10.1080/13569783.2010.495269
000281401300008	1	10.1080/13569783.2010.495275
000281744900003	2	10.1162/coli_a_00002
000284753400007	1	10.1093/llc/fqn038
000284754100008	1	10.1093/llc/fqp003
000284755400005	1	10.1093/llc/fqn044
000284757100001	1	10.1093/llc/fqp032
000287404800006	1	10.1080/13569783.2011.541610
000287710000002	2	10.1080/09296174.2011.533588
000287922900005	2	10.1007/s10579-010-9115-y
000288801500009	1	10.1093/llc/fqq017
000295585600001	2	10.1080/09296174.2011.556002
000295585600002	2	10.1080/09296174.2011.556003
000296881000005	2	10.1007/s10579-011-9147-y
000299555100002	2	10.1080/09296174.2011.581849
000299555100004	2	10.1080/09296174.2011.583405
000299629300006	1	10.1080/13569783.2011.617106
000301985600003	1	10.1093/llc/fqr045
000302081800003	2	10.1080/09296174.2012.638796
000304199900002	1	10.1093/llc/fqs010
000308083100003	2	10.1162/COLI_a_00092
000309469100002	1	10.1093/llc/fqs035
000309469100003	1	10.1093/llc/fqs031
000310321000002	1	10.1080/13569783.2012.727622
000310373700002	1	10.1093/llc/fqs034
000315648000005	2	10.1162/COLI_a_00135
000319473300007	1	10.1093/llc/fqs069
000319473300015	1	10.1093/llc/fqt007
000319473300016	1	10.1093/llc/fqs018
000321607200003	2	10.1080/09296174.2013.799917
000321607200004	2	10.1080/09296174.2013.799914
000321607200005	2	10.1080/09296174.2013.799912
000321607200007	2	10.1080/09296174.2013.799910
000323643100001	1	10.1093/llc/fqs041
000325692300002	1	10.1080/13569783.2013.810923
000325692300008	1	10.1080/13569783.2013.810926
000326867300002	2	10.1080/09296174.2013.830550
000327244300006	1	10.1093/llc/fqt048
000327244300016	1	10.1093/llc/fqt061
000327244300018	1	10.1093/llc/fqt049
000327244300020	1	10.1093/llc/fqt050
000328213000008	2	10.1007/s10579-013-9227-2
000328531700003	2	10.1080/09296174.2013.856131
000331800800006	1	10.1080/13569783.2013.872426
000333210000006	2	10.1007/s10579-014-9265-4
000337244600006	1	10.1080/13569783.2014.911806
000338029100001	2	10.1080/09296174.2014.911505
000338196000006	2	10.1162/COLI_a_00176
000341843500001	2	10.1162/COLI_a_00190
000341843500006	2	10.1162/COLI_a_00195
000345150100004	2	10.1162/COLI_a_00200
000345703000008	2	10.1007/s10579-014-9273-4
000345836300009	1	10.1093/llc/fqu041
000349889400007	2	10.1007/s10579-014-9283-2
000350571000005	1	10.1080/13569783.2014.983467
000350571000008	1	10.1080/13569783.2014.986447
000355405000012	1	10.1080/13569783.2015.1019444
000356451800007	1	10.1093/llc/fqt037
000357648900001	2	10.1080/09296174.2015.1037159
000358361300010	2	10.1007/s10579-015-9294-7
000359625700003	2	10.1162/COLI_a_00220
000359625700005	2	10.1162/COLI_a_00222
000364015200011	1	10.1093/llc/fqu007
000367449700003	1	10.1093/llc/fqv045
000367449700009	1	10.1093/llc/fqv049
000367813400004	2	10.1162/COLI_a_00237
000370863100003	2	10.1007/s10579-015-9328-1
000371922500001	1	NULL
000379618200003	2	10.1080/09296174.2016.1142327
000380128100010	1	10.1080/13569783.2016.1189821
000384763200004	1	10.1093/llc/fqu063
000385615700004	2	10.1080/09296174.2016.1169848
000388306600004	2	10.1080/09296174.2015.1106269
000388852400003	1	10.1145/2905369
000388852400005	1	10.1145/2966985
000393039600002	2	10.1007/s10579-015-9317-4
000393039600003	2	10.1007/s10579-015-9320-9
000396579800004	1	10.1080/13569783.2016.1263561
000398124800005	2	10.1007/s10579-015-9321-8
000399927200002	1	10.1080/13569783.2017.1286977
000399927200007	1	10.1080/13569783.2017.1293510
000403358700005	2	10.1007/s10579-015-9329-0
000404351100007	1	10.1080/13569783.2017.1324776
000406002800009	1	10.1093/llc/fqw004
000406002800015	1	10.1093/llc/fqw006
000407360600003	2	10.1007/s10579-016-9378-z
000407360600008	2	10.1007/s10579-016-9367-2
000407360600012	2	10.1007/s10579-016-9359-2
000407647900003	1	10.1145/3012289
000411507800004	2	10.1162/COLI_a_00294
000417646400007	2	10.1162/COLI_a_00304
000417904700005	1	10.1093/llc/fqw045
000087906500001	2	10.1162/089120100561656
000089635700003	2	10.1162/089120100561737
000168871500002	2	10.1162/089120100750105939
000169648000001	1	10.1023/A:1017563931115
000169648000007	1	10.1023/A:1017901705018
000173575800004	2	10.1162/089120101753342653
000174569000005	1	10.1023/A:1014348124664
000175684600004	2	10.1162/089120102317341774
000176756300005	1	10.1023/A:1016122115490
000176756300008	1	10.1023/A:1016174116399
000177959300002	2	10.1162/089120102760275992
000181393800002	1	10.1023/A:1022673822140
000181393800003	1	10.1023/A:1022604723049
000184508600004	1	10.1023/A:1025071200644
000184508600005	1	10.1023/A:1025087115665
000184508600008	1	10.1023/A:1025039611798
000185302500006	1	10.1023/A:1025775401524
000187353300004	1	10.1023/B:CHUM.0000009225.28847.77
000207735600004	1	10.1093/llc/fqn023
000209902300004	1	10.1145/2614567
000209902400001	1	10.1145/2567652
000209902400003	1	10.1145/2558306
000220741000001	2	10.1162/089120104773633367
000239022500004	2	10.1007/s10579-006-9001-9
000239022500005	2	10.1007/s10579-006-9002-8
000242377300001	2	10.1162/coli.2006.32.4.457
000244448000004	2	10.1007/s10579-006-9013-5
000247471600002	2	10.1162/coli.2007.33.2.161
000250467300006	2	10.1007/s10579-007-9023-y
000250467300013	2	10.1007/s10579-007-9030-z
000258643400005	2	10.1162/coli.2008.07-002-R1-06-30
000261404600002	2	10.1162/coli.2008.07-028-R2-05-82
000263798100003	2	10.1007/s10579-008-9074-8
000266250400004	2	10.1007/s10579-009-9084-1
000266277800001	2	10.1080/09296170902734156
000274220500001	2	10.1080/09296170903395890
000275310400004	2	10.1162/coli.2010.36.1.36103
000279666800001	2	10.1162/coli.09-023-R1-08-002
000279666800002	2	10.1162/coli.09-036-R2-08-050
000281744900006	2	10.1162/coli_a_00005
000284754100009	1	10.1093/llc/fqp006
000284754800004	1	10.1093/llc/fqp017
000284754800011	1	10.1093/llc/fqp024
000284758300002	1	10.1093/llc/fqp038
000284758300005	1	10.1093/llc/fqq002
000289850000006	2	10.1007/s10579-011-9141-4
000289850000007	2	10.1007/s10579-010-9128-6
000293709900004	2	10.1007/s10579-011-9155-y
000294295200002	2	10.1162/COLI_a_00063
000299627600005	1	10.1080/13569783.2011.566991
000299629300003	1	10.1080/13569783.2011.617099
000299629300008	1	10.1080/13569783.2011.617110
000301985600007	1	10.1093/llc/fqr039
000302289800006	1	10.1080/13569783.2012.648989
000306100900003	2	10.1162/COLI_a_00097
000306831700002	1	10.1080/13569783.2012.694028
000307651800002	2	10.1080/09296174.2012.659000
000307652300003	2	10.1080/09296174.2012.685304
000309134500007	2	10.1007/s10579-012-9191-2
000309134500009	2	10.1007/s10579-012-9186-z
000309469100008	1	10.1093/llc/fqs037
000311508200007	2	10.1007/s10579-012-9182-3
000315204400004	1	10.1080/13569783.2012.756169
000315648000003	2	10.1162/COLI_a_00133
000315648000006	2	10.1162/COLI_a_00136
000316004500011	2	10.1007/s10579-012-9185-0
000316543200001	1	10.1093/llc/fqs062
000318556900002	2	10.1162/COLI_a_00123
000318556900004	2	10.1162/COLI_a_00125
000319473300013	1	10.1093/llc/fqs076
000319566100009	1	10.1080/13569783.2013.787258
000319776500004	2	10.1007/s10579-012-9199-7
000321607200002	2	10.1080/09296174.2013.799918
000323754700003	2	10.1007/s10579-012-9202-3
000323754700010	2	10.1007/s10579-012-9209-9
000325692300003	1	10.1080/13569783.2013.810929
000325864800006	2	10.1162/COLI_a_00145
000326867300004	2	10.1080/09296174.2013.830553
000327244300004	1	10.1093/llc/fqt058
000327244300011	1	10.1093/llc/fqt053
000327244300015	1	10.1093/llc/fqt017
000328213000007	2	10.1007/s10579-013-9224-5
000328213000010	2	10.1007/s10579-013-9232-5
000328213000018	2	10.1007/s10579-013-9239-y
